Problem:    
Rows:       230
Columns:    660 (660 integer, 0 binary)
Non-zeros:  1400
Status:     INTEGER OPTIMAL
Objective:  obj = 4676 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
   402 f_2_34_35    *              0             0           500 
   403 f_2_34_39    *              0             0           500 
   404 f_2_38_35    *              0             0           500 
   405 f_2_35_36    *              0             0            50 
   406 f_2_36_37    *              0             0           500 
   407 f_2_37_38    *              0             0            50 
   408 f_2_39_40    *              0             0            50 
   409 f_3_0_1      *              0             0             = 
   410 f_3_22_1     *              0             0           500 
   411 f_3_40_1     *              0             0           500 
   412 f_3_1_2      *              0             0            50 
   413 f_3_2_21     *              0             0           500 
   414 f_3_2_39     *              0             0           500 
   415 f_3_0_3      *              0             0             = 
   416 f_3_6_3      *              0             0           500 
   417 f_3_18_3     *              0             0           500 
   418 f_3_26_3     *              0             0           500 
   419 f_3_32_3     *             19             0           500 
   420 f_3_34_3     *              0             0           500 
   421 f_3_36_3     *              0             0           500 
   422 f_3_3_4      *             19             0            50 
   423 f_3_4_5      *              0             0           500 
   424 f_3_4_17     *              0             0           500 
   425 f_3_4_25     *              0             0           500 
   426 f_3_4_31     *              0             0           500 
   427 f_3_4_33     *              0             0           500 
   428 f_3_4_35     *             19             0           500 
   429 f_3_0_5      *              0             0             = 
   430 f_3_8_5      *              0             0           500 
   431 f_3_32_5     *              0             0           500 
   432 f_3_5_6      *              0             0            50 
   433 f_3_6_7      *              0             0           500 
   434 f_3_6_31     *              0             0           500 
   435 f_3_32_7     *              0             0           500 
   436 f_3_7_8      *             22             0            50 
   437 f_3_8_31     *             22             0           500 
   438 f_3_0_9      *              0             0             = 
   439 f_3_14_9     *             11             0           500 
   440 f_3_20_9     *              0             0           500 
   441 f_3_9_10     *             11             0            50 
   442 f_3_10_13    *              0             0           500 
   443 f_3_10_19    *             11             0           500 
   444 f_3_24_11    *              0             0           500 
   445 f_3_28_11    *              0             0           500 
   446 f_3_30_11    *              0             0           500 
   447 f_3_36_11    *              1             0           500 
   448 f_3_11_12    *              1             0            50 
   449 f_3_12_23    *              0             0           500 
   450 f_3_12_27    *              0             0           500 
   451 f_3_12_29    *              0             0           500 
   452 f_3_12_35    *              0             0           500 
   453 f_3_20_13    *              0             0           500 
   454 f_3_26_13    *              0             0           500 
   455 f_3_38_13    *             18             0           500 
   456 f_3_13_14    *             18             0            50 
   457 f_3_14_19    *              0             0           500 
   458 f_3_14_25    *              0             0           500 
   459 f_3_14_37    *              0             0           500 
   460 f_3_18_15    *              0             0           500 
   461 f_3_24_15    *              0             0           500 
   462 f_3_30_15    *              0             0           500 
   463 f_3_34_15    *              0             0           500 
   464 f_3_40_15    *              0             0           500 
   465 f_3_15_16    *              0             0            50 
   466 f_3_16_17    *              0             0           500 
   467 f_3_16_23    *              0             0           500 
   468 f_3_16_29    *              0             0           500 
   469 f_3_16_33    *              0             0           500 
   470 f_3_16_39    *              0             0           500 
   471 f_3_24_17    *              0             0           500 
   472 f_3_26_17    *              0             0           500 
   473 f_3_30_17    *              0             0           500 
   474 f_3_32_17    *              3             0           500 
   475 f_3_34_17    *              0             0           500 
   476 f_3_36_17    *              0             0           500 
   477 f_3_40_17    *              0             0           500 
   478 f_3_17_18    *              3             0            50 
   479 f_3_18_23    *              0             0           500 
   480 f_3_18_25    *              0             0           500 
   481 f_3_18_29    *              0             0           500 
   482 f_3_18_31    *              0             0           500 
   483 f_3_18_33    *              0             0           500 
   484 f_3_18_35    *              0             0           500 
   485 f_3_18_39    *              0             0           500 
   486 f_3_19_20    *             11             0            50 
   487 f_3_40_21    *              0             0           500 
   488 f_3_21_22    *              0             0            50 
   489 f_3_22_39    *              0             0           500 
   490 f_3_30_23    *              0             0           500 
   491 f_3_34_23    *              0             0           500 
   492 f_3_36_23    *              0             0           500 
   493 f_3_40_23    *              0             0           500 
   494 f_3_23_24    *              0             0            50 
   495 f_3_24_29    *              0             0           500 
   496 f_3_24_33    *              0             0           500 
   497 f_3_24_35    *              0             0           500 
   498 f_3_24_39    *              0             0           500 
   499 f_3_28_25    *              0             0           500 
   500 f_3_30_25    *              0             0           500 
   501 f_3_34_25    *              0             0           500 
